NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,HD,HIPP,RA,DEC,RA_STRING,DEC_STRING,V,VURL,VREF,J,I,DEPTH,T14,TT,MASS,R,AR,B,RSTAR,MSTAR,STAR,TEFF,LOGG,FE,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,TRANSIT,TRANSITURL,TRANSITREF,OTHERNAME,KS,H
,mjupiter,au,day,,deg,jd,m/s,,,,,,,hr,deg,,,,,,,deg,,day,,mjupiter,rjupiter,,,rsun,msun,,k,,,,,,,,,,,,
Kepler-33 e,,0.213825,31.7844,0,90,2454968.8,,Lissauer 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.27183888912201,46.005,19:16:18.62,+46:00:18.0,13.74,,,12.871,88.94,0.000404412,,2454968.8,,0.358929,,0.47,1.82,1.291,Kepler-33,5904,4.027,,,,Kepler-33,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-33,1,http://adsabs.harvard.edu/abs/2012ApJ...750..112L,Lissauer 2012,KOI-707,12.591,12.62
Kepler-19 b,0,0.0845828,9.2869944,0,90,2454959.70597,,Ballard 2011,http://adsabs.harvard.edu/abs/2011ApJ...743..200B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.36138611157735,37.85180555555556,19:21:40.99,+37:51:06.5,12.04,,,10.719,89.94,0.000565964,0.140215,2454959.70597,0,0.197074,21.59,0.02,0.85,0.936,Kepler-19,5541,4.59,-0.13,Kepler-19 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-19&PLANET=b,Kepler-19,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-19,1,http://adsabs.harvard.edu/abs/2011ApJ...743..200B,Ballard 2011,KOI-84,10.318,10.375
WASP-60 b,,0.0531041,4.3050011,0,90,2455747.0295,,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,,,23.77777222209507,31.15594444433848,23:46:39.98,+31:09:21.4,12.18,,,,87.9,0.006,0.139,2455747.0295,,0.86,10,0.37,1.14,1.078,WASP-60,5900,4.2,-0.04,WASP-60 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-60&PLANET=b,WASP-60,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-60,1,http://adsabs.harvard.edu/abs/2013A%26A...549A.134H,Hebrard 2013,,,
HAT-P-15 b,1.9513,0.0964692,10.863502,0.19,262,2454632.8,180.6,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,Kovacs 2010,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,,,4.416536110772027,39.46063611136542,04:24:59.53,+39:27:38.29,12.159,,,10.194,89.1,0.0103861,0.2285,2454638.56019,1.95154,1.072,19.16,0.342,1.08,1.013,HAT-P-15,5568,4.38,0.22,HAT-P-15 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-15&PLANET=b,HAT-P-15,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-15,1,http://adsabs.harvard.edu/abs/2010ApJ...724..866K,Kovacs 2010,2MASS J04245952+3927382,9.683,9.752
HD 209458 b,0.68851,0.047235,3.52474859,0,0,2452826.628514,84.67,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Henry 2000 ; Charbonneau 2000,http://adsabs.harvard.edu/abs/2000ApJ...529L..41H ; http://adsabs.harvard.edu/abs/2000ApJ...529L..45C,209458,108859,22.05298735133334,18.88436321,22:03:10.754,+18:53:03.71,7.65,,,6.591,86.71,0.0146071,0.128528,2452826.628514,0.689646,1.359,8.76,0.507,1.155,1.131,HD 209458,6065,4.361,0,HD209458 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HD209458&PLANET=b,HD 209458,http://simbad.harvard.edu/simbad/sim-id?Ident=HD+209458,1,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,,6.307,6.365
WASP-61 b,2.05477,0.0514489,3.8559,0,90,2455859.52825,233,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,,,5.019974999957614,-26.05413888878293,05:01:11.91,-26:03:14.9,12.49,,,,89.35,0.0088,0.1642,2455859.52825,2.05491,1.24,7.93344,0.09,1.36,1.22,WASP-61,6250,4.256,-0.1,,,TYC 6469-1972-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+6469-1972-1,1,http://adsabs.harvard.edu/abs/2012MNRAS.426..739H,Hellier 2012,,,
Kepler-58 b,,0.0905953,10.2184954,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.75723888874054,39.115,19:45:26.06,+39:06:54.0,,,,,,,0.183196,2454969.87048,,0.247794,,0.948,1.03,0.95,Kepler-58,5843,4.39,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-1336,,
CoRoT-17 b,2.45898,0.0480499,3.7681,0,90,2454923.3093,312.4,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,,,18.57994833310445,-6.612249999576145,18:34:47.814,-06:36:44.1,15.46,,,13.174,88.34,0.00434937,0.196667,2454923.3093,2.46001,1.02,6.23,0.18,1.5121,1.04,CoRoT-17,5740,4.4,0,CoRoT-17 b,http://var2.astro.cz/ETD/etd.php?STARNAME=CoRoT-17&PLANET=b,CoRoT-17,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-17,1,http://adsabs.harvard.edu/abs/2011A%26A...531A..41C,Csizmadia 2011,2MASS 18344782-0636440,12.472,12.615
WASP-31 b,0.477154,0.0466223,3.405909,0,90,2455189.2828,58.2,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,Anderson 2011,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,,,11.29593249956767,-19.05477777798971,11:17:45.357,-19:03:17.2,11.7,,,10.912,84.54,0.01622,0.1107,2455189.2828,0.479329,1.537,8.07166,0.769,1.252,1.165,WASP-31,6302,4.308,-0.2,WASP-31 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-31&PLANET=b,WASP-31,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-31,1,http://adsabs.harvard.edu/abs/2011A%26A...531A..60A,Anderson 2011,2MASS J11174536-1903171,10.65,10.709
WASP-36 b,2.25537,0.0262601,1.5373653,0,90,2455569.83731,391.4,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Smith 2012,http://adsabs.harvard.edu/abs/2012AJ....143...81S,,,8.77202722231547,-8.026944444444446,08:46:19.298,-08:01:37.0,12.7,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Smith 2012,11.609,83.65,0.01913,0.07566,2455569.83731,2.26929,1.269,5.98522,0.662,0.943,1.02,WASP-36,5881,4.498,-0.31,WASP-36 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-36&PLANET=b,WASP-36,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-36,1,http://adsabs.harvard.edu/abs/2012AJ....143...81S,Smith 2012,2MASS J08461929-0801370,11.294,11.353
