NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,HD,HIPP,RA,DEC,RA_STRING,DEC_STRING,V,VURL,VREF,J,I,DEPTH,T14,TT,MASS,R,AR,B,RSTAR,MSTAR,STAR,TEFF,LOGG,FE,ETDNAME,ETDURL,SIMBADNAME,SIMBADURL,TRANSIT,TRANSITURL,TRANSITREF,OTHERNAME,KS,H
,mjupiter,au,day,,deg,jd,m/s,,,,,,,hr,deg,,,,,,,deg,,day,,mjupiter,rjupiter,,,rsun,msun,,k,,,,,,,,,,,,
WASP-14 b,7.65457,0.0367693,2.243752,0.091,253.371,2454462.3304,993,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,,,14.5517638888624,21.89471611128913,14:33:06.35,+21:53:40.978,9.75,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,8.869,84.32,0.0102,0.1275,2454463.57583,7.69234,1.281,5.929,0.535,1.31,1.31,WASP-14,6475,4.07,0,WASP-14 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-14&PLANET=b,WASP-14,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-14,1,http://adsabs.harvard.edu/abs/2009MNRAS.392.1532J,Joshi 2009,,8.621,8.65
Kepler-50 b,,0.0825598,7.8125124,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.20671944459279,50.03361111111111,19:12:24.19,+50:02:01.0,,,,,,,0.176829,2455005.63186,,0.196096,,0.8955,1.88,1.23,Kepler-50,6058,3.98,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-262,,
Kepler-20 b,0.0266149,0.0453704,3.6961219,0,79.2157,2454966.34,3.72,Gautier 2012,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.17986777729458,42.33869444423252,19:10:47.524,+42:20:19.30,12.51,,,11.252,86.5,0.000344102,0.113895,2454967.50027,0.0266646,0.170247,8.28,0.633,0.944,0.912,Kepler-20,5455,4.4,0.01,Kepler-20 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-20&PLANET=b,Kepler-20,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-20,1,http://adsabs.harvard.edu/abs/2012ApJ...749...15G,Gautier 2012,KOI-70,10.871,10.91
HAT-P-27 b,0.615135,0.0399488,3.039577,0,90,2455407.9088,91.2,Brown 2012,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Anderson 2011,http://adsabs.harvard.edu/abs/2011PASP..123..555A,,,14.85116388890478,5.947361111111111,14:51:04.19,+05:56:50.5,12.2,http://adsabs.harvard.edu/abs/2011PASP..123..555A,Anderson 2011,10.626,85,0.0143,0.07,2455407.9088,0.617485,1.02,9.80392,0.87,0.87,0.92,HAT-P-27,5190,4.5,0.14,HAT-P-27/WASP-40 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-27/WASP-40&PLANET=b,HAT-P-27,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-27,1,http://adsabs.harvard.edu/abs/2012ApJ...760..139B,Brown 2012,WASP-40,10.109,10.249
Kepler-11 c,0.04247,0.106504,13.02502,0,90,2454971.1748,,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,,,19.80767277770572,41.90913055525886,19:48:27.622,+41:54:32.87,,,,12.548,89,0.000683822,0.1925,2454971.1748,0.0424765,0.281024,,0.36,1.1,0.95,Kepler-11,5680,4.3,0,Kepler-11 c,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-11&PLANET=c,GSC 03144-00002,http://simbad.harvard.edu/simbad/sim-id?Ident=GSC+03144-00002,1,http://adsabs.harvard.edu/abs/2011Natur.470...53L,Lissauer 2011,KOI-157,12.237,12.237
WASP-21 b,0.300201,0.0521087,4.322482,0,90,2454743.0419,37.2,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,,,23.16618055555555,18.39608333375719,23:09:58.25,+18:23:45.9,11.58,,,10.35,88.75,0.01082,0.1398,2454743.0419,0.300272,1.07,10.5518,0.23,1.06,1.01,WASP-21,5800,4.2,-0.46,WASP-21 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-21&PLANET=b,WASP-21,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-21,1,http://adsabs.harvard.edu/abs/2010A&A...519A..98B,Bouchy 2010,2MASS J23095825+1823459,9.982,10.085
WASP-25 b,0.578118,0.0473714,3.764825,0,90,2455274.99649,75.5,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,,,13.02399277793037,-27.52219444433848,13:01:26.374,-27:31:19.9,11.88,,,10.596,88,0.0187,0.116,2455274.99649,0.57847,1.22,11.0586,0.38,0.92,1,WASP-25,5750,4.5,-0.05,WASP-25 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-25&PLANET=b,TYC 6706-861-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+6706-861-1,1,http://adsabs.harvard.edu/abs/2011MNRAS.410.1631E,Enoch 2011,2MASS J13012637-2731199,10.174,10.268
Kepler-32 f,,0.0130732,0.74296,0,90,2454965.54,,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,,,297.84240417,46.57427222,19:51:22.177,+46:34:27.3,,,,13.616,,0.000224,0.039,2454965.54,,0.0730903,,,0.53,0.54,Kepler-32,3793,4.64,-0.01,,,Kepler-32,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-32,1,http://adsabs.harvard.edu/abs/2012ApJ...750..114F,Fabrycky 2012,KOI-952,12.757,12.901
Kepler-49 c,,0.07889,10.9129343,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.48631111118529,40.59166666666667,19:29:10.72,40:35:30.0,,,,13.184,,,0.119071,2455002.84919,,0.227293,,0.9467,0.53,0.55,Kepler-49,3974,4.73,,,,Kepler-49,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-49,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-248,12.383,12.487
Kepler-55 c,,0.202122,42.1516418,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,,,19.0112194442749,44.02638888888889,19:00:40.39,+44:01:35.0,,,,,,,0.21904,2454971.99284,,0.196987,,0.6496,0.58,0.62,Kepler-55,4362,4.7,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-904,,
WASP-19 b,1.11405,0.0163152,0.78884,0.0046,3,2455168.771,257,Hellier 2011,http://adsabs.harvard.edu/abs/2011ApJ...730L..31H,Hebb 2010,http://adsabs.harvard.edu/abs/2010ApJ...708..224H,,,9.894465833240085,-45.65916666666666,09:53:40.077,-45:39:33.0,12.59,,,10.911,79.4,0.0206,0.0655,2455168.96801,1.13339,1.386,3.59577,0.657,0.99,0.93,WASP-19,5500,4.5,0.02,WASP-19 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-19&PLANET=b,WASP-19,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-19,1,http://adsabs.harvard.edu/abs/2011ApJ...730L..31H,Hellier 2011,,10.481,10.602
Kepler-26 b,0,0.0902469,12.282356,0,90,2454978.8321,,Steffen 2012,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,18.99606944402059,46.56638888888889,18:59:45.85,+46:33:59.00,,,,13.408,,0.00239317,0.1175,2454978.8321,0,,36.32,0.028,0.59,0.65,Kepler-26,3933,4.5,-0.21,,,Kepler-26,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-26,1,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Steffen 2012,KOI-250,12.63,12.746
WASP-18 b,10.0636,0.0201401,0.9414529,0.00848,267.9,2454664.429,1818.3,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Hellier 2009,http://adsabs.harvard.edu/abs/2009Natur.460.1098H,10069,7562,1.623614432,-45.67793105,01:37:25.012,-45:40:40.55,9.3927,,,8.409,80.6,0.00916,0.09089,2454664.90531,10.2006,1.267,3.19489,0.527,1.216,1.22,WASP-18,6400,4.367,0,WASP-18 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-18&PLANET=b,WASP-18,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-18,1,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,,8.131,8.231
CoRoT-6 b,2.95325,0.0854177,8.886593,0,90,2454595.6144,280,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,,,18.73817222224342,6.663319444656373,18:44:17.42,06:39:47.95,13.912,,,12.518,89.07,0.0136656,0.17015,2454595.6144,2.95364,1.166,17.94,0.291,1.025,1.05,CoRoT-6,6090,4.44,-0.2,CoRoT-6 b,http://var2.astro.cz/ETD/etd.php?STARNAME=CoRoT-6&PLANET=b,CoRoT-Exo-6,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-Exo-6,1,http://adsabs.harvard.edu/abs/2010A%26A...512A..14F,Fridlund 2010,2MASS J18441740+0639474,12.119,12.228
KELT-2 A b,1.52019,0.0549707,4.1137912,0,90,2455974.60335,161.1,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,Beatty 2012,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,42176,29301,6.177592811333333,30.95714744,06:10:39.334,+30:57:25.73,8.71,,,7.669,88.6,0.00521,0.2155,2455974.60335,1.52064,1.286,6.47,0.16,1.828,1.308,KELT-2 A,6151,4.03,-0.018,Kelt-2 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kelt-2&PLANET=b,KELT-2A,http://simbad.harvard.edu/simbad/sim-id?Ident=KELT-2A,1,http://adsabs.harvard.edu/abs/2012ApJ...756L..39B,Beatty 2012,,7.346,7.417
Kepler-10 b,0.0142142,0.0167573,0.837495,0,90,2454964.57375,3.3,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,,,19.04529527770148,50.24131944444444,19:02:43.063,+50:14:28.75,,,,9.889,84.4,0.000151782,0.0753693,2454964.57375,0.0142824,0.126327,3.436,0.339,1.056,0.895,Kepler-10,5627,4.341,-0.15,Kepler-10 b,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-10&PLANET=b,Kepler-10,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-10,1,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,Batalha 2011,KOI-72,9.496,9.563
WASP-10 b,3.19034,0.0384536,3.0927616,0.0507142,153.283,2454664.537,520.1,Johnson 2009,http://adsabs.harvard.edu/abs/2009ApJ...692L.100J,Christian 2009,http://adsabs.harvard.edu/abs/2009MNRAS.392.1585C,,,23.26619444423252,31.46288888931274,23:15:58.3,+31:27:46.4,12.7,,,10.603,88.49,0.02525,0.092796,2454664.037295,3.19144,1.08,11.65,0.299,0.698,0.79,WASP-10,4675,4.4,0.03,WASP-10 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-10&PLANET=b,WASP-10,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-10,1,http://adsabs.harvard.edu/abs/2009ApJ...692L.100J,Johnson 2009,,9.983,10.117
WASP-17 b,0.507667,0.0499354,3.735433,0,90,2454559.18096,59.2,Triaud 2010,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Anderson 2010,http://adsabs.harvard.edu/abs/2010ApJ...709..159A,,,15.99748527738783,-28.06174999978807,15:59:50.947,-28:03:42.3,11.6,,,10.509,86.63,0.01672,0.1843,2454559.18096,0.508547,1.932,6.81663,0.4,1.2,1.19,WASP-17,6550,4.2,-0.25,WASP-17 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-17&PLANET=b,WASP-17,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-17,1,http://adsabs.harvard.edu/abs/2010A%26A...524A..25T,Triaud 2010,USNO-B1.0 0619-0419495,10.224,10.319
HAT-P-17 b,0.530106,0.0882385,10.338523,0.346,201,2454792.87,58.4,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,Howard 2012,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,,,21.63575877772437,30.48872666676839,21:38:08.7316,+30:29:19.416,10.54,,,9.017,89.2,0.015264,0.1691,2454801.16945,0.530158,1.01,22.65,0.311,0.837,0.857,HAT-P-17,5246,4.53,0,HAT-P-17 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-17&PLANET=b,TYC 2717-417-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+2717-417-1,1,http://adsabs.harvard.edu/abs/2012ApJ...749..134H,Howard 2012,2MASS J21380873+3029193,8.544,8.619
Kepler-57 c,,0.0942979,11.6092567,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,,,19.57608888838026,44.65694444444444,19:34:33.92,+44:39:25.0,,,,,,,0.0711417,2454966.99083,,0.138158,,0.0153,0.73,0.83,Kepler-57,5145,4.63,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-1270,,
HAT-P-37 b,1.1719,0.0379273,2.79736,0.058,164,2455642.67,177.7,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,http://adsabs.harvard.edu/abs/2012AJ....144...19B,,,18.95309999995762,51.26913888878293,18:57:11.16,+51:16:08.9,13.23,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,12.092,86.9,0.0189888,0.0971,2455642.14318,1.17362,1.178,9.32,0.505,0.877,0.929,HAT-P-37,5500,4.52,0.03,HAT-P-37 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-37&PLANET=b,HAT-P-37,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-37,1,http://adsabs.harvard.edu/abs/2012AJ....144...19B,Bakos 2012,2MASS J18571105+5116088,11.667,11.714
Kepler-28 b,0,0.0581375,5.91213,0,90,2454975.6227,,Steffen 2012,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.4758000002967,42.42916666666667,19:28:32.88,+42:25:45.00,,,,13.334,,0.0008804,0.115417,2454975.6227,0,0.320884,11.9,0.53,0.7,0.75,Kepler-28,4590,4.29,,,,Kepler-28,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-28,1,http://adsabs.harvard.edu/abs/2012MNRAS.421.2342S,Steffen 2012,KOI-870,12.719,12.767
HAT-P-32 b,0.950561,0.0344203,2.150009,0.163,52,2454415.982,136.1,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,,,2.069521666632758,46.68783611085679,02:04:10.278,+46:41:16.21,11.44,,,10.251,88.7,0.0227406,0.1292,2454416.14639,0.950806,2.037,5.32,0.108,1.387,1.176,HAT-P-32,6001,4.22,-0.16,HAT-P-32 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-32&PLANET=b,HAT-P-32,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-32,1,http://adsabs.harvard.edu/abs/2011ApJ...742...59H,Hartman 2011,2MASS J02041028+4641162,9.99,10.024
XO-3 b,13.0547,0.0477112,3.1915426,0.2884,346.3,2454024.7278,1488,Winn 2009,http://adsabs.harvard.edu/abs/2009ApJ...700..302W,Johns-Krull 2008,http://adsabs.harvard.edu/abs/2008ApJ...677..657J,,,4.364640222125582,57.81719055556589,04:21:52.7048,+57:49:01.886,9.91,,,9.013,79.32,0.00894327,,2454025.3967,13.2849,1.217,4.83,,2.07898,1.41,XO-3,6429,3.95,-0.177,XO-3 b,http://var2.astro.cz/ETD/etd.php?STARNAME=XO-3&PLANET=b,XO-3,http://simbad.harvard.edu/simbad/sim-id?Ident=XO-3,1,http://adsabs.harvard.edu/abs/2008ApJ...677..657J,Johns-Krull 2008,GSC 03727-01064,8.791,8.845
CoRoT-9 b,0.843564,0.406991,95.2738,0.11,37,2454591.853,38,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,Deeg 2010,http://adsabs.harvard.edu/abs/2010Natur.464..384D,,,18.71911388900545,6.204136111206479,18:43:08.810,+06:12:14.89,13.69,,,12.175,89.99,0.013225,0.336667,2454603.3447,0.843564,1.05,93,0.01,0.94,0.99,CoRoT-9,5625,4.54,-0.01,CoRoT-9 b,http://var2.astro.cz/ETD/etd.php?STARNAME=CoRoT-9&PLANET=b,CoRoT-Exo-9b,http://simbad.harvard.edu/simbad/sim-id?Ident=CoRoT-Exo-9b,1,http://adsabs.harvard.edu/abs/2010Natur.464..384D,Deeg 2010,2MASS J18430881+0612150,11.688,11.813
WASP-16 b,0.839364,0.0417858,3.1186009,0,90,2454584.42878,116.7,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,Lister 2009,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,,,14.31220055580139,-20.27549999978807,14:18:43.922,-20:16:31.8,11.3,,,9.984,85.22,0.01199,0.08,2454584.42878,0.842294,1.008,9.572,0.798,0.946,1,WASP-16,5700,4.495,0.01,WASP-16 b,http://var2.astro.cz/ETD/etd.php?STARNAME=WASP-16&PLANET=b,WASP-16,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-16,1,http://adsabs.harvard.edu/abs/2009ApJ...703..752L,Lister 2009,USNO-B1.0 0697-0298329,9.589,9.659
PH-1 b,,0.629412,138.506,0.0539,348,2454970,,Schwamb 2012,http://arxiv.org/abs/1210.3612,Schwamb 2012,http://arxiv.org/abs/1210.3612,,,19.88100666681925,39.95510000016954,19:52:51.624,+39:57:18.36,,,,,89.989,0.00103813,,2455074.7,,0.550851,,,1.759,1.734,PH-1,6407,4.14,0.21,,,,,1,http://arxiv.org/abs/1210.3612,Schwamb 2012,KIC 4862625,,
Kepler-37 d,,0.21202,39.792187,0.102489,107.021,2455006.722,,Barclay 2013,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,284.05960958,44.51815444,18:56:14.306,+44:31:05.3,9.77,,,8.356,89.335,0.0005749,0.193338,2455008.2,,0.178,59.03,0.715,0.77,0.803,Kepler-37,5417,4.5667,-0.32,,,KOI-245,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-245,1,http://adsabs.harvard.edu/abs/2013Natur.494..452B,Barclay 2013,KOI-245,7.942,8
WASP-79 b,0.884655,0.0534741,3.6623817,0,90,2455545.23479,88.2,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,,,4.424728055530124,-30.60041666666667,04:25:29.021,-30:36:01.5,10.04,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,9.299,85.4,0.01148,0.1563,2455545.23479,0.887514,1.7,,0.57,1.64,1.52,WASP-79,6600,4.2,0.03,,,WASP-79,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-79,1,http://adsabs.harvard.edu/abs/2012A%26A...547A..61S,Smalley 2012,,9.056,9.123
Kepler-30 d,0,0.534239,143.343,0.022,197,2455171.827,,Sanchis-Ojeda 2012,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.01890833324856,47.49122222211626,19:01:08.07,+47:29:28.4,,,,14,89.84,0.0083,0.322,2455273.53,0.0726872,0.784384,,0.38,0.95,0.99,Kepler-30,5498,4.77,0.18,,,Kepler-30,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-30,1,http://adsabs.harvard.edu/abs/2012Natur.487..449S,Sanchis-Ojeda 2012,KOI-806,13.58,13.62
WASP-42 b,0.496749,0.0547344,4.9816877,0,90,2455650.56723,64.3,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Lendl 2012,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,,,12.86543611102634,-42.07358333322738,12:51:55.57,-42:04:24.9,12.57,,,,88.3,0.0165,0.12042,2455650.56723,0.496968,1.063,13.84,0.41,0.85,0.881,WASP-42,5200,4.5,0.05,,,WASP-42,http://simbad.harvard.edu/simbad/sim-id?Ident=WASP-42,1,http://adsabs.harvard.edu/abs/2012A%26A...544A..72L,Lendl 2012,,,
Kepler-48 b,,0.0534031,4.7779803,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.94261111153497,40.94888888888889,19:56:33.4,+40:56:56.0,,,,11.702,,,0.118383,2454957.06301,,0.190748,,0.8214,0.89,0.89,Kepler-48,5190,4.49,,,,Kepler-48,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-48,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-148,11.221,11.292
HAT-P-41 b,0.799609,0.0425775,2.694047,0,90,2454983.86167,92.5,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,http://adsabs.harvard.edu/abs/2012AJ....144..139H,,,19.82149999989404,4.672416666878594,19:49:17.40,+04:40:20.7,11.36,,,10.006,87.7,0.0105678,0.1704,2454983.86167,0.800254,1.685,5.44,0.222,1.683,1.418,HAT-P-41,6390,4.14,0.21,,,TYC 488-2442-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+488-2442-1,1,http://adsabs.harvard.edu/abs/2012AJ....144..139H,Hartman 2012,,9.728,9.777
Kepler-42 c,,0.00585017,0.45328509,,,,,Muirhead 2012,http://adsabs.harvard.edu/abs/2012ApJ...747..144M,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.48126666704814,44.6193333334393,19:28:52.56,+44:37:09.6,16.124,,,12.177,,0.00156025,,2454966.86952,,0.0650682,,0.52,0.17,0.13,Kepler-42,3068,,-0.48,,,KOI-961,http://simbad.harvard.edu/simbad/sim-id?Ident=KOI-961,1,http://adsabs.harvard.edu/abs/2012ApJ...747..144M,Muirhead 2012,KOI-961,11.465,11.685
Kepler-52 b,,0.0630945,7.8773565,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.11586944474114,49.97555555555556,19:06:57.13,+49:58:32.0,,,,13.153,,,0.100929,2455009.37692,,0.187182,,0.8142,0.52,0.54,Kepler-52,4075,4.74,,,,,,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-775,12.36,12.51
OGLE-TR-10 b,0.626643,0.0434855,3.101278,0,90,2452070.222,80,Torres 2008,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Konacki 2005,http://adsabs.harvard.edu/abs/2005ApJ...624..372K,,,17.85784722222222,-29.87636111153497,17:51:28.250,-29:52:34.9,15.78,,,,90,0.0121,0.136213,2452070.2223,0.62,1.25,8.07,0,1.17,1.14,OGLE-TR-10,5950,4.358,0.15,OGLE-TR-10 b,http://var2.astro.cz/ETD/etd.php?STARNAME=OGLE-TR-10&PLANET=b,OGLE-TR-10,http://simbad.harvard.edu/simbad/sim-id?Ident=OGLE-TR-10,1,http://adsabs.harvard.edu/abs/2008ApJ...677.1324T,Torres 2008,V5125 Sgr,,
HAT-P-2 b,8.85612,0.0679088,5.6334729,0.5171,185.22,2454388.0774003,983.9,Pal 2010,http://adsabs.harvard.edu/abs/2010MNRAS.401.2665P,Bakos 2007,http://adsabs.harvard.edu/abs/2007ApJ...670..826B,147506,80076,16.34343483533333,41.0481558,16:20:36.365,+41:02:53.36,8.71,,,7.796,86.72,0.005223,0.1787,2454387.49375,8.87065,1.157,8.99,0.395,1.506,1.308,HAT-P-2,6290,4.16,0.14,HAT-P-2 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-2&PLANET=b,HAT-P-2,http://simbad.harvard.edu/simbad/sim-id?Ident=HAT-P-2,1,http://adsabs.harvard.edu/abs/2010MNRAS.401.2665P,Pal 2010,HD 147506,7.603,7.652
HAT-P-24 b,0.685652,0.0465021,3.35524,0.067,197,2455214.549,83,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,Kipping 2010,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,,,7.255005555682712,14.26260833316379,07:15:18.020,+14:15:45.39,11.76,,,10.797,88.6,0.009409,0.1539,2455216.97667,0.685857,1.242,7.58,0.189,1.317,1.191,HAT-P-24,6373,4.27,-0.16,HAT-P-24 b,http://var2.astro.cz/ETD/etd.php?STARNAME=HAT-P-24&PLANET=b,TYC 774-1441-1,http://simbad.harvard.edu/simbad/sim-id?Ident=TYC+774-1441-1,1,http://adsabs.harvard.edu/abs/2010ApJ...725.2017K,Kipping 2010,2MASS J07151801+1415453,10.543,10.589
Kepler-20 f,0,0.137859,19.57706,0,,2454968.219,,Fressin 2012,http://adsabs.harvard.edu/abs/2012Natur.482..195F,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.17986777729458,42.33869444423252,19:10:47.524,+42:20:19.30,12.51,,,11.252,88.68,0.0001004,0.173823,2454968.219,0,0.0918085,25.15,0.727,0.944,0.912,Kepler-20,5466,4.443,0.02,Kepler-20 f,http://var2.astro.cz/ETD/etd.php?STARNAME=Kepler-20&PLANET=f,Kepler-20,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-20,1,http://adsabs.harvard.edu/abs/2012Natur.482..195F,Fressin 2012,KOI-70,10.871,10.91
Kepler-53 b,,0.136705,18.6489525,,,,,Steffen 2013,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,,,19.36411944495307,40.5625,19:21:50.83,+40:33:45.0,,,,14.252,,,0.186729,2455007.77608,,0.257599,,0.76,0.89,0.98,Kepler-53,5858,4.53,,,,Kepler-53,http://simbad.harvard.edu/simbad/sim-id?Ident=Kepler-53,1,http://adsabs.harvard.edu/abs/2013MNRAS.428.1077S,Steffen 2013,KOI-829,13.81,13.91
